abbrev,active,apiIdentifier,derived,description,display,displayAbbrev,displayOrder,displaySortReversed,gamePlayedMarker,id,pointsScoringEligible,rotoScoringEligible,statCategoryId,statTypeId,statDerivation
DPA22,True,,False,D/ST 22-27 points allowed,True,DPA22,200,False,False,193,True,False,0,0,
DPA28,True,,False,D/ST 28-34 points allowed,True,DPA28,201,False,False,194,True,False,0,0,
DPA35,True,,False,D/ST 35-45 points allowed,True,DPA35,202,False,False,195,True,False,0,0,
DPA46,True,,False,D/ST 46+ points allowed,True,DPA46,203,False,False,196,True,False,0,0,
DPAPG,True,,True,D/ST Points Allowed Per Game,False,DPAPG,204,False,False,197,False,False,0,0,"{'defaultInvalid': 0, 'derivedFromStats': {'a': 187, 'b': 210}, 'equation': 'a / b', 'invalidStatCheck': None, 'secondaryDefaultInvalid': None}"
FG50,True,kicking.fieldGoalsMade50_59,False,FG Made (50-59 yards),True,FG50,205,False,False,198,True,False,0,0,
FGA50,True,kicking.fieldGoalAttempts50_59,False,FG Attempted (50-59 yards),True,FGA50,87,False,False,199,True,False,0,0,
FGM50,True,,False,FG Missed (50-59 yards),True,FGM50,90,False,False,200,True,False,0,0,
FG60,True,kicking.fieldGoalsMade60_99,False,FG Made (60+ yards),True,FG60,206,False,False,201,True,False,0,0,
FGA60,True,kicking.fieldGoalAttempts60_99,False,FG Attempted (60+ yards),True,FGA60,207,False,False,202,True,False,0,0,
FGM60,True,,False,FG Missed (60+ yards),True,FGM60,208,False,False,203,True,False,0,0,
O2PRET,True,general.offensiveTwoPtReturns,False,Offensive 2pt Return,False,O2PTRET,209,False,False,204,True,False,0,0,
D2PRET,True,defensive.twoPtReturns,False,Defensive 2pt Return,True,D2PTRET,210,False,False,205,True,False,0,0,
2PRET,True,,False,2pt Return,True,2PTRET,74,False,False,206,True,False,0,0,
O1PSF,True,TODO,False,Offensive 1pt Safety,False,O1PSF,211,False,False,207,True,False,0,0,
D1PSF,True,TODO,False,Defensive 1pt Safety,False,D1PSF,212,False,False,208,True,False,0,0,
1PSF,True,TODO,False,1pt Safety,True,1PSF,75,False,False,209,True,False,0,0,
GP,True,general.gamesPlayed,False,Games Played,False,GP,213,False,True,210,True,False,0,0,
PFD,True,passing.passingFirstDowns,False,Passing First Down,True,PFD,17,False,False,211,True,False,0,0,
RFD,True,rushing.rushingFirstDowns,False,Rushing First Down,True,RFD,36,False,False,212,True,False,0,0,
REFD,True,receiving.receivingFirstDowns,False,Receiving First Down,True,REFD,53,False,False,213,True,False,0,0,
FGY,True,kicking.fieldGoalsMadeYards,False,FG Made Yards,True,FGY,214,False,False,214,True,False,0,0,
FGMY,True,kicking.fieldGoalsMissedYards,False,FG Missed Yards,True,FGMY,215,False,False,215,True,False,0,0,
FGAY,True,kicking.fieldGoalAttemptYards,False,FG Attempt Yards,True,FGAY,216,False,False,216,True,False,0,0,
FGY5,True,,False,Every 5 FG Made yards,True,FGY5,217,False,False,217,True,False,0,0,
FGY10,True,,False,Every 10 FG Made yards,True,FGY10,218,False,False,218,True,False,0,0,
FGY20,True,,False,Every 20 FG Made yards,True,FGY20,219,False,False,219,True,False,0,0,
FGY25,True,,False,Every 25 FG Made yards,True,FGY25,220,False,False,220,True,False,0,0,
FGY50,True,,False,Every 50 FG Made yards,True,FGY50,221,False,False,221,True,False,0,0,
FGY100,True,,False,Every 100 FG Made yards,True,FGY100,222,False,False,222,True,False,0,0,
FGMY5,True,,False,Every 5 FG Missed yards,True,FGMY5,223,False,False,223,True,False,0,0,
FGMY10,True,,False,Every 10 FG Missed yards,True,FGMY10,224,False,False,224,True,False,0,0,
FGMY20,True,,False,Every 20 FG Missed yards,True,FGMY20,225,False,False,225,True,False,0,0,
FGMY25,True,,False,Every 25 FG Missed yards,True,FGMY25,226,False,False,226,True,False,0,0,
FGMY50,True,,False,Every 50 FG Missed yards,True,FGMY50,227,False,False,227,True,False,0,0,
FGMY100,True,,False,Every 100 FG Missed yards,True,FGMY100,228,False,False,228,True,False,0,0,
FGAY5,True,,False,Every 5 FG Attempt yards,True,FGAY5,229,False,False,229,True,False,0,0,
FGAY10,True,,False,Every 10 FG Attempt yards,True,FGAY10,230,False,False,230,True,False,0,0,
FGAY20,True,,False,Every 20 FG Attempt yards,True,FGAY20,231,False,False,231,True,False,0,0,
FGAY25,True,,False,Every 25 FG Attempt yards,True,FGAY25,232,False,False,232,True,False,0,0,
FGAY50,True,,False,Every 50 FG Attempt yards,True,FGAY50,233,False,False,233,True,False,0,0,
FGAY100,True,,False,Every 100 FG Attempt yards,True,FGAY100,234,False,False,234,True,False,0,0,
